business_name,category,location,mobile,whatsapp,email,website,source_url,source_site
Results,Business (★3.7),UAE,,,,http://fakhruddintrading.com/,"https://www.google.com/maps/search/wholeseller++in+Dubai,+UAE/@25.2242981,55.3157279,13z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDUyNi4wIKXMDSoASAFQAw%3D%3D",Google Maps
RGCC BUILDING CONTRACTING L.L.C,Real Estate Builders & Construction Company (★3.7), Aspect Tower - Office Suite# 1005 - Business Bay - Dubai - United Arab Emirates,971552792403,971552792403,,http://fakhruddintrading.com/,"https://www.google.com/maps/place/RGCC+BUILDING+CONTRACTING+L.L.C/@25.192079,55.1901383,13z/data=!4m9!1m2!2m1!1swholeseller++in+Dubai,+UAE!3m5!1s0x3e5f6906aca0ba43:0x2445083f0fb35927!8m2!3d25.1920788!4d55.2663564!16s%2Fg%2F11lnnsl0zp?entry=ttu&g_ep=EgoyMDI1MDUyNi4wIKXMDSoASAFQAw%3D%3D",Google Maps
